source_id	url	ref	identity	license	purpose	status
jg-kernel	https://github.com/jglathe/linux_ms_dev_kit.git	jg/ubuntu-qcom-x1e-7.2-rc5-jg-0	8f953dd060bc6e8fb86ca2ea8a92f258141c0169	NOASSERTION	Pinned mixed-license qcom-x1e kernel tree; preserve per-file SPDX	pinned
sp11-kernel-fork-base	https://github.com/ooaklee/linux_ms_dev_kit-sp11.git	sp11/base-jg-7.2-rc5-jg-0	8f953dd060bc6e8fb86ca2ea8a92f258141c0169	NOASSERTION	Protected mixed-license thin-fork mirror; preserve per-file SPDX	pinned
sp11-kernel-integration	https://github.com/ooaklee/linux_ms_dev_kit-sp11.git	sp11/integration-7.2-rc5	971b5af85ed0c7283ffb33430badeac9b5575057	NOASSERTION	Current mixed-license thin-fork integration identity	pinned
geocausa-touchscreen	https://github.com/geocausa/SP11X1e-touchscreen.git	6bbcf7a4759a73014047a57e819219dd7f34951a	6bbcf7a4759a73014047a57e819219dd7f34951a	GPL-2.0-only	Validated Phase 91 G6 touchscreen module source	pinned
audioreach-topology	https://github.com/linux-msm/audioreach-topology.git	d7a5e9d80ad18a7a6844eeb32cacbdeea0e7e677	d7a5e9d80ad18a7a6844eeb32cacbdeea0e7e677	BSD-3-Clause	AudioReach topology build input	pinned
sp11-audio-ucm	https://github.com/ooaklee/linux-surface-pro-11-oe.git	695592192691348d39445198a90ebcc9383eaa94	695592192691348d39445198a90ebcc9383eaa94	NOASSERTION	Tracked SP11 microphone UCM revision pending derivation and licence review	evidence-only
sp11-acpi-dumps	https://github.com/linux-surface/acpidumps.git	1d0a2ce742b450fe3f65287adbe174ddccabe228	1d0a2ce742b450fe3f65287adbe174ddccabe228	NOASSERTION	Public Surface Pro 11 ACPI evidence only	evidence-only
iptsd	https://github.com/linux-surface/iptsd.git	a83bc1232f7096f8b33b50fdbda249cd640de670	a83bc1232f7096f8b33b50fdbda249cd640de670	GPL-2.0-or-later	Candidate G6 report-parser and pen userspace integration	candidate
hid-over-spi-v4-mbox	https://lore.kernel.org/all/20260609-send-upstream-v4-0-b843d5e6ced3%40chromium.org/t.mbox.gz	v4-00-11	3b26ce90730b9bb4d1ff8394db65fcf5f999c94329973fa673dca582ff13f0ca	NOASSERTION	Decompressed public HID-over-SPI v4 thread and candidate patch source	evidence-only
surface-aggregator-module	https://github.com/linux-surface/surface-aggregator-module.git	de6d403852f33f5445c25971a3f25e6ebafbf824	de6d403852f33f5445c25971a3f25e6ebafbf824	NOASSERTION	Candidate platform-profile and Surface integration source	candidate
